Region Code,Local Authority,Pupils whose first language is English(8),Pupils whose first language is other than English(9),All pupils(10),Pupils known to be eligible for free school meals,All other pupils(8),All pupils,Disadvantaged pupils(1),All other pupils(9),All pupils,Pupils with no identified SEN,SEN support,SEN with a statement or EHC plan,All pupils(9),Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil3,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass5,Percentage of pupils who achieved a standard 9-4 pass 5,Overall absence,Percentage of persistent absentees
E06000031,Peterborough,1518,718,2237,287,1950,2237,668,1569,2237,1907,201,128,2237,2237,42.1,95.9,35,54.4,4.6,10.8
E06000033,Southend-on-Sea,1819,284,2103,183,1920,2103,515,1588,2103,1869,153,81,2103,2103,50.4,96.1,54.1,70.9,4.3,9.2
E10000029,Suffolk,6306,408,6718,692,6026,6718,1474,5244,6718,5917,549,252,6718,6718,44.7,97.9,40.3,63.1,4.5,9.9
E06000034,Thurrock,1463,170,1633,208,1425,1633,458,1175,1633,1410,143,80,1633,1633,44.4,97.7,38.4,60.6,4.4,10
,,,,,,,,,,,,,,,,,,,,,
E12000007,London,43242,31703,75518,13561,61957,75518,28433,47085,75518,63248,8967,2889,75518,75518,48.9,96.7,48.2,67.9,4.5,10
E13000001,Inner London,11853,12987,24971,6924,18047,24971,13281,11690,24971,20147,3667,1086,24971,24971,48.2,96.3,46,66.1,4.4,10.1
E09000007,Camden,725,776,1513,414,1099,1513,793,720,1513,1303,138,72,1513,1513,48.3,96.4,48.3,67.2,3.3,3.9
E09000001,City of London,.,.,.,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,5.1,12.1
E09000012,Hackney,1039,960,2002,657,1345,2002,1077,925,2002,1461,441,99,2002,2002,49.4,96.6,44.7,66.6,4.2,8.8
E09000013,Hammersmith and Fulham,780,532,1313,290,1023,1313,574,739,1313,1107,134,71,1313,1313,50.9,94.7,52.9,70.2,4.6,10.9
E09000014,Haringey,1059,1066,2127,512,1615,2127,1038,1089,2127,1658,369,100,2127,2127,46.5,95.3,43.6,63.1,4.6,10.6
E09000019,Islington,717,660,1377,462,915,1377,898,479,1377,1083,242,52,1377,1377,45.6,97.2,43.9,63.9,4.6,10.6
E09000020,Kensington and Chelsea,326,413,739,122,617,739,307,432,739,673,35,31,739,739,55,97.3,57.4,76.7,4.4,9.4
E09000022,Lambeth,1045,901,1949,544,1405,1949,1078,871,1949,1439,381,126,1949,1949,44.3,94.8,39.3,60.2,4.4,9.7
E09000023,Lewisham,1571,663,2247,465,1782,2247,996,1251,2247,1886,260,101,2247,2247,44.2,96,37.9,58.7,4.5,10.8
E09000025,Newham,926,2594,3523,941,2582,3523,2155,1368,3523,2912,547,64,3523,3523,48.4,97.1,45.8,65.2,4.5,10.4
E09000028,Southwark,1424,879,2328,611,1717,2328,1147,1181,2328,1865,368,95,2328,2328,50.5,97.4,47.8,68.4,4,9
E09000030,Tower Hamlets,779,1777,2623,1170,1453,2623,1682,941,2623,2171,279,108,2623,2623,47.2,95.7,44.3,65.2,4.4,9.2
E09000032,Wandsworth,913,781,1695,289,1406,1695,717,978,1695,1357,225,113,1695,1695,49.5,95.9,50.6,70.9,4.4,10
E09000033,Westminster,549,985,1535,447,1088,1535,819,716,1535,1232,248,54,1535,1535,52.6,98,55.4,74.7,4.9,11.3
,,,,,,,,,,,,,,,,,,,,,
E13000002,Outer London,31389,18716,50547,6637,43910,50547,15152,35395,50547,43101,5300,1803,50547,50547,49.2,96.8,49.2,68.9,4.5,10
E09000002,Barking and Dagenham,1218,958,2185,345,1840,2185,851,1334,2185,1949,164,72,2185,2185,46.7,97.8,43.1,63.6,4.4,10.5
